word	type	identifier
Fe3+	Chemical	MESH:D007501
Fe3+	Chemical	MESH:D007501
Malonyl-CoA	Chemical	MESH:D008316
PUFA	Chemical	MESH:D015525
Acetyl-CoA PUFA-COA	Chemical	MESH:D015525
Fe2+	Chemical	MESH:D007501
PUFA	Chemical	MESH:D015525
Fe3+	Chemical	MESH:D007501
Fe2	Chemical	MESH:D007501
Fe2+	Chemical	MESH:D007501
Fe2+	Chemical	MESH:D007501
PUFA-OOH	Chemical	MESH:D015525
Glutamate	Chemical	NA
Cystine	Chemical	MESH:D003553
Cystine	Chemical	MESH:D003553
Cysteine	Chemical	MESH:D003545
GSH	Chemical	MESH:D005978
4-HNE	Chemical	MESH:C027576
MDA	Chemical	MESH:D008315
GSSG	Chemical	MESH:D019803
Glutamate	Chemical	NA
NADPH	Chemical	MESH:D009249
NADP	Chemical	MESH:D009249
NADPH	Chemical	MESH:D009249
GTP	Chemical	MESH:D006160
TCA	Chemical	MESH:C000589078
NADP	Chemical	MESH:D009249
