word	source	identifier
Aspartic acid	MESH	C403564
Alanine	MESH	D000409
Asparagine	MESH	C050801
Oxaloacetic acid	MESH	D062907
Citric acid	MESH	D019343
Fumaric acid	MESH	C032005
TCA	MESH	C000589078
Succinic acid	MESH	D019802
2-oxoglutaric acid	MESH	C029743
4-aminobutyric acid	MESH	D005680
GABA	MESH	D005680
Glutamate		
Glutamine	MESH	C578860
Nitrogen	MESH	D009584
Quinic acid	MESH	D011801
OH	MESH	C031356
O	MESH	D013481
AMINO ACIDS	MESH	D000596
Tryptophan		
Phenylalanine	MESH	C119108
3-Dehydroquinate	MESH	C474477
Tyrosine		
Salicylic acid	MESH	D020156
Shikimate-3-phosphate	MESH	C042786
