word	type	identifier
TCA	Chemical	MESH:C000589078
Pyruvate	Chemical	MESH:D011773
D-Lactate	Chemical	MESH:D019344
TCA	Chemical	MESH:C000589078
D-lactate	Chemical	MESH:D019344
Glucose	Chemical	MESH:D005947
Glc-6-P	Chemical	MESH:C089452
DHAP	Chemical	MESH:C017202
Pyruvate	Chemical	MESH:D011773
Sucrose	Chemical	MESH:D013395
Methylglyoxal	Chemical	MESH:D011765
GSH	Chemical	MESH:D005978
D-Lactate	Chemical	MESH:D019344
Propionate	Chemical	MESH:D011422
Butyrate	Chemical	MESH:D002087
Acetate	Chemical	MESH:D000085
Pyruvate	Chemical	MESH:D011773
Threonine	Chemical	MESH:C061951
Acetone	Chemical	MESH:D000096
Pyruvate	Chemical	MESH:D011773
Glucose	Chemical	MESH:D005947
Glyceraldehyde	Chemical	MESH:D005985
Dihydroxyacetone	Chemical	MESH:D004098
Acetyl	Chemical	MESH:C011632
Glyceraldehyde	Chemical	MESH:D005985
Glc-6-P	Chemical	MESH:C089452
6-P-gluconate	Chemical	MESH:D005942
5-P	Chemical	MESH:D010695
