word	type	identifier
Tryptophan	Chemical	NA
L-Formylkynurenine	Chemical	MESH:C036915
2-Aminomuconate semialdehyde	Chemical	MESH:C009338
5-Hydroxy-L-tryptophan	Chemical	NA
5-Hydroxykynurenamine	Chemical	MESH:C001402
N-Methyltryptamine	Chemical	MESH:C035668
C00978 C06634 CD5647 C06212 C05651 C03227 C01252 C00108 C00954	Chemical	MESH:D002244
Tryptophan	Chemical	NA
Phenylalanine	Chemical	MESH:C119108
Phenylpyruvate	Chemical	MESH:C031606
Phenylalanine	Chemical	MESH:C119108
Phenylacetaldehyde	Chemical	MESH:C013192
Phenylalanine	Chemical	MESH:C119108
tyrosine	Chemical	NA
tryptophan	Chemical	NA
L-Tyrosine	Chemical	NA
C00166 Phenylpyruvate	Chemical	MESH:C031606
Phenylalanine	Chemical	MESH:C119108
COOD L-Tyrosine	Chemical	NA
