word	source	identifier
Amino acid	MESH	D000596
Glu Cystine	MESH	C030954
Sorafenib	MESH	C471405
Sulfasalazine	MESH	D012460
GSSG	MESH	D019803
PUFAS-0OH	MESH	C031356
sulfur	MESH	D013455
NADPH	MESH	D009249
H	MESH	D006859
BSO	MESH	C065566
Ser	MESH	C530429
NADP	MESH	D009249
Cystathionine CGL++	MESH	D003540
Cys	MESH	C046557
GSH	MESH	D005978
2GSH	MESH	D005978
PUFAS-OH	MESH	C031356
Glu	MESH	C094686
Mevalonate	MESH	D008798
CoA HMG-COAM	MESH	C002668
Mevalonate IPP	MESH	D008798
FPP	MESH	C039834
Squalene	MESH	D013185
Cholesterol	MESH	D002784
Statins	MESH	D019821
OOH	MESH	C069471
C Iron	MESH	D007501
Iron	MESH	D007501
Fe	MESH	D007501
