word	mesh	match	name	doid
Noonan syndrome	mesh:D009634	NA	NA	NA
NS	mesh:D009404	NA	NA	NA
Neurofibromatosis type	mesh:C537392	NA	NA	NA
Legius syndrome	mesh:C548032	NA	NA	NA
Costello syndrome	mesh:D056685	NA	NA	NA
Cardio-facio-cutaneous syndrome	mesh:C535579	Cardiofaciocutaneous syndrome	cardiofaciocutaneous syndrome	doid:0060233
CFCS	mesh:C535579	Cardiofaciocutaneous syndrome	cardiofaciocutaneous syndrome	doid:0060233
Noonan syndrome	mesh:D009634	NA	NA	NA
multiple lentigines	mesh:D044542	NA	NA	NA
Noonan syndrome-like disorder	mesh:C537846	NA	NA	NA
Noonan syndrome	mesh:D009634	NA	NA	NA
