word	mesh	match	name	doid
Pancreatic Cancer	mesh:D010190	NA	NA	NA
Acute myeloid leukemia	mesh:D015470	NA	NA	NA
AML	mesh:D015470	NA	NA	NA
AML	mesh:D015470	NA	NA	NA
Breast Cancer	mesh:D001943	NA	NA	NA
Melanoma	mesh:D008545	NA	NA	NA
cancers	mesh:D009369	NA	NA	NA
Leukemia	mesh:D007938	NA	NA	NA
Glioma	mesh:D005910	Glioma	brain glioma	doid:0060108
Glioblastoma	mesh:D005909	NA	NA	NA
Melanoma growth	mesh:D008545	NA	NA	NA
glioblastoma	mesh:D005909	NA	NA	NA
carcinoma	mesh:D002277	Carcinoma	spindle cell carcinoma	doid:4015
tumor	mesh:D009369	NA	NA	NA
tumor	mesh:D009369	NA	NA	NA
