word	mesh	match	name	doid
Salmonella infection	mesh:D012480	Salmonella Infections	salmonellosis	doid:0060859
Prostate cancer	mesh:D011471	NA	NA	NA
Small cell lung cancer	mesh:D055752	NA	NA	NA
Non-alcoholic fatty liver disease	mesh:D065626	Non-alcoholic Fatty Liver Disease	non-alcoholic fatty liver disease	doid:0080208
cancer	mesh:D009369	NA	NA	NA
Toxoplasmosis	mesh:D014123	NA	NA	NA
cancer	mesh:D009369	NA	NA	NA
SIPR3 MAPK10 MMP1 TERT CYP19A1 MACA CHRM1 MOLL OPRM1 MCLI	NA	NA	NA	NA
Viral carcinogenesis	mesh:D063646	NA	NA	NA
diabetic	mesh:D003920	NA	NA	NA
Alzheimer disease	mesh:D000544	NA	NA	NA
atherosclerosis	mesh:D050197	NA	NA	NA
Epstein-Barr virus infection	mesh:D020031	NA	NA	NA
infection	mesh:D007239	NA	NA	NA
Amyotrophic lateral sclerosis	mesh:D000690	Amyotrophic Lateral Sclerosis	amyotrophic lateral sclerosis-parkinsonism/dementia complex 1	doid:0111246
ALS	mesh:C565957	Amyotrophic Lateral Sclerosis 2, Juvenile	amyotrophic lateral sclerosis type 2	doid:0060194
Chagas disease	mesh:D014355	Chagas disease	Chagas Disease	doid:12140
trypanosomiasis	mesh:D014352	NA	NA	NA
