word	source	identifier
TCA CYCLE	MESH	C000589078
Phosphoenol	MESH	C015443
pyruvate	MESH	D011773
Fatty acid	MESH	D005227
THPP	MESH	C014870
Val	MESH	C081489
Leu	MESH	C038361
S-Acetyldihydro	MESH	D013455
Pyruvate	MESH	D011773
Acetyl-CoA	MESH	D000105
Alanine	MESH	D000409
glutamate		
Glyoxylate	MESH	D006038
dicarboxylate	MESH	C004860
Isocitrate	MESH	D007523
Citrate	MESH	C102006
Omloacetate		
cis-Aconitate	MESH	C043607
Malate O	MESH	D008293
Tyrosine		
Arginine	MESH	D001127
Succinyl-CoA	MESH	C012046
SSuccinyl		
dihydrolipoamide	MESH	C007409
1-hydroxypropyl TAPP	MESH	C034807
Succinate	MESH	D013386
Ascorbate	MESH	D001205
Alanane		
aspartate		
