word	type	identifier
L-Tyrosine	Chemical	NA
Indole-3-glycerol phosphate	Chemical	MESH:C008117
Indole-3-pyruvate	Chemical	MESH:C008122
Indole-3-acetaldehyde	Chemical	MESH:C001655
4-Hydroxyphenylpyruvate	Chemical	MESH:C010590
Indole	Chemical	MESH:C030374
L-tryptophan	Chemical	NA
Indole-3-acetamide	Chemical	MESH:C015950
AMAG	Chemical	MESH:D052203
Indole-3-acetic acid	Chemical	MESH:C030737
Tryptamine	Chemical	MESH:C030820
Prephenic acid	Chemical	MESH:C005550
N-Hydroxyl-tryptamine	Chemical	MESH:C030820
Indole-3-acetaldoxime	Chemical	MESH:C467098
Indole-3-acetonitrile	Chemical	MESH:C016516
