word	mesh	match	name	doid
Diabetic	mesh:D003920	NA	NA	NA
nephropathy	mesh:D007674	NA	NA	NA
Lof pancreas	mesh:D010190	NA	NA	NA
Diabetes  mellitus  Alzheimer  disease	mesh:D003920	NA	NA	NA
Non-insulin-dependent  diabetes mellitus	mesh:D003924	NA	NA	NA
diabetes mellitus	mesh:D003920	NA	NA	NA
tumor	mesh:D009369	NA	NA	NA
heart disease	mesh:D006331	NA	NA	NA
Aneurysm	mesh:D000783	NA	NA	NA
cardiomyopathyl	NA	NA	NA	NA
Atherosclerosis	mesh:D050197	NA	NA	NA
Emery-Dreifuss	mesh:D020389	NA	NA	NA
muscular dystrophy	mesh:D009136	NA	NA	NA
Fibrosis	mesh:D005355	NA	NA	NA
hypertension	mesh:D006973	NA	NA	NA
Cardiomyopathy	mesh:D009202	NA	NA	NA
