word	source	identifier
Glucose	MESH	D005947
ATP	MESH	D000255
ADP	MESH	D000244
NADPH	MESH	D009249
DHAP	MESH	C017202
NAD	MESH	D009243
NADH	MESH	D009243
Serine	MESH	C047902
Glycine	MESH	D005998
AMINO ACID	MESH	D000596
Pyruvate	MESH	D011773
FATTY	MESH	D005227
Acetyl CoA	MESH	D000105
Citrate	MESH	C102006
Isocitrate	MESH	D007523
ketoglutarate	MESH	C029743
Oxaloacetate	MESH	D010071
Glutamate		
Glutamine	MESH	C578860
TCA	MESH	C000589078
Succinyl CoA	MESH	C012046
FADH	MESH	C058805
Succinate	MESH	D013386
