word	type	identifier
Glucose	Chemical	MESH:D005947
Glucose	Chemical	MESH:D005947
Pyruvate	Chemical	MESH:D011773
Lactate	Chemical	MESH:D019344
Glucose	Chemical	MESH:D005947
Acetyl-Ca	Chemical	MESH:D002118
AMP	Chemical	MESH:D000249
NO	Chemical	NA
Citrate	Chemical	MESH:C102006
TCA	Chemical	MESH:C000589078
Calcium	Chemical	MESH:D002118
3-PGA 2-PGA	Chemical	MESH:D011454
ATP	Chemical	MESH:D000255
F2,6BP F6P	Chemical	MESH:C071196
AMPT	Chemical	MESH:C493774
Acetyl-CoA	Chemical	MESH:D000105
Fatty acid	Chemical	MESH:D005227
Malenyl-CoA	Chemical	MESH:C065987
Pyruvate	Chemical	MESH:D011773
Lactate	Chemical	MESH:D019344
Fatty acid	Chemical	MESH:D005227
PEG	Chemical	MESH:C499599
Citrate	Chemical	MESH:C102006
Oxaloacetat	Chemical	NA
Isocitrate	Chemical	MESH:D007523
TCA	Chemical	MESH:C000589078
Citrate	Chemical	MESH:C102006
TCA	Chemical	MESH:C000589078
Osaloacetate Malate	Chemical	MESH:D008293
Fumarate	Chemical	MESH:D005650
2-Oxoglutarate	Chemical	MESH:C029743
Succinate	Chemical	MESH:D013386
