word	mesh	match	name	doid
melanoma	NA	melanoma	melanoma	DOID:1909
cancer	NA	cancer	cancer	DOID:162
melanoma	NA	melanoma	melanoma	DOID:1909
Melanoma	NA	melanoma	melanoma	DOID:1909
carcinoma	NA	carcinoma	carcinoma	DOID:305
adenocarcinoma	NA	adenocarcinoma	adenocarcinoma	DOID:299
carcinoma	NA	carcinoma	carcinoma	DOID:305
Breast cancer	NA	breast cancer	breast cancer	DOID:1612
Lung adenocarcinoma	NA	lung adenocarcinoma	lung adenocarcinoma	DOID:3910
squamous cell carcinoma	NA	squamous cell carcinoma	squamous cell carcinoma	DOID:1749
Oral squamous cell carcinoma	NA	oral squamous cell carcinoma	oral squamous cell carcinoma	DOID:0050866
