word	mesh	match	name	doid
breast cancer	mesh:D001943	NA	NA	NA
Parkinsons disease	mesh:D010300	NA	NA	NA
Benign prostate hyperplasia	mesh:D011470	Prostatic Hyperplasia	prostatic hypertrophy	doid:11132
Migraine	mesh:D008881	NA	NA	NA
ATPIAT	NA	NA	NA	NA
Cardiovascular disease	mesh:D002318	NA	NA	NA
Cardiac acrhythmias	mesh:D006331	NA	NA	NA
Breast.cancer  Schizochrenia	mesh:D001943	NA	NA	NA
Pain	mesh:D010146	NA	NA	NA
Depression  Anoety disorder	mesh:D000275	Adjustment Disorders	adjustment disorder	doid:507
depereitenjury	NA	NA	NA	NA
