word	mesh	match	name	doid
COVID-19	mesh:C000657245	NA	NA	NA
Fever	mesh:D005334	NA	NA	NA
fatigue	mesh:D005221	NA	NA	NA
dry cough  Diarrhea	mesh:D003371	NA	NA	NA
COVID-19	mesh:C000657245	NA	NA	NA
SARS-CoV-2	mesh:C000657245	NA	NA	NA
Headache	mesh:D006261	NA	NA	NA
dizziness	mesh:D004244	NA	NA	NA
nausea	mesh:D009325	NA	NA	NA
Dyspnea	mesh:D004417	NA	NA	NA
asthma	mesh:D001249	NA	NA	NA
Multi-organ failure	mesh:D009102	NA	NA	NA
Cognitive impairment	mesh:D003072	NA	NA	NA
Behavioral dysfunction	mesh:D001523	NA	NA	NA
Chest pain	mesh:D002637	NA	NA	NA
Lung injury	mesh:D055370	NA	NA	NA
