word	type	identifier
Squalene	Chemical	MESH:D013185
FPP	Chemical	MESH:C039834
Oxidosqualene	Chemical	MESH:C520393
OH	Chemical	MESH:C031356
mevalonate	Chemical	MESH:D008798
Lanosterol	Chemical	MESH:D007810
mevalonate	Chemical	MESH:D008798
OH	Chemical	MESH:C031356
5-phosphate	Chemical	MESH:D010710
4,4-dimethylcholesta	Chemical	MESH:C011456
8,14,24-trien-3-ol	Chemical	MESH:C114832
Zymosterol Cholesta-7,24-dien-3-ol 7-dehydrodesmosterol Desmosterol	Chemical	MESH:C007040
Hydroxysqualene	Chemical	NA
mevalonate	Chemical	MESH:D008798
OH OH	Chemical	MESH:C031356
5-diphosphate	Chemical	MESH:D011756
Cholesterol	Chemical	MESH:D002784
FADH2 H2O	Chemical	MESH:C058805
FAD	Chemical	MESH:D005182
4,4-dimethyl	Chemical	MESH:C033711
zymosterol	Chemical	MESH:C015582
Squalene	Chemical	MESH:D013185
DMAPP	Chemical	MESH:C043060
Zymosterol	Chemical	MESH:C015582
