word	type	identifier
Coumaroyl-CoA	Chemical	MESH:C058644
Coumaroyl	Chemical	MESH:C058644
Caffeoyl	Chemical	MESH:C058645
Caffeoyl	Chemical	MESH:C058645
Feruloyl	Chemical	MESH:C119167
5-Hydroxy	Chemical	MESH:D006880
coniferaldehyde	Chemical	MESH:C075384
Cinnamate	Chemical	MESH:D002934
Coumaraldehyde	Chemical	MESH:C117045
aldehyde	Chemical	MESH:D000447
aldehyde	Chemical	MESH:D000447
Caffeate	Chemical	MESH:C042405
Phenylalanine	Chemical	MESH:C119108
Coumaryl alcohol	Chemical	MESH:C495469
H-lignin	Chemical	MESH:D008031
Coniferyl alcohol	Chemical	MESH:C010559
Sinapyl alcohol	Chemical	MESH:C496130
S-lignin	Chemical	MESH:D008031
Lignin	Chemical	MESH:D008031
