word	mesh	match	name	chebi
coumaric acid	mesh:D003373	Coumaric Acids	hydroxycinnamic acid	chebi:24689
Stachydrine	NA	NA	NA	NA
Shlorogenic acid	mesh:D000596	NA	NA	NA
Methylnoleate	NA	NA	NA	NA
Nicotinamide	mesh:D009536	Niacinamide	nicotinamide	chebi:17154
Unidine	NA	NA	NA	NA
Formononen	NA	NA	NA	NA
Adenosine	mesh:D000241	Adenosine	adenosine	chebi:16335
quino acid	mesh:C469616	NA	NA	NA
adenine	mesh:D000225	Adenine	adenine	chebi:16708
Phenylalanine	mesh:C119108	Leu-Phe	leucyl-phenylalanine	chebi:73585
Ononin	mesh:C526426	calycosin-7-O-beta-D-glucoside	calycosin-7-O-beta-D-glucoside	chebi:86512
Linoleic acid	mesh:D008041	NA	NA	NA
lyl	mesh:C059463	NA	NA	NA
Fero acid	mesh:C020748	iron(2+) sulfate (anhydrous)	ferrous sulfate	chebi:75832
Coumarin	mesh:C030123	NA	NA	NA
