word	type	identifier
Serine	Chemical	MESH:C047902
Palmitoyl	Chemical	MESH:C032023
phosphate	Chemical	MESH:D010710
Serine Palmitoyl	Chemical	MESH:C047210
Sphingosine-1-phosphate	Chemical	MESH:C060506
ATP	Chemical	MESH:D000255
Sphinganine	Chemical	MESH:C005682
3-Ketosphinganine	Chemical	MESH:C002882
Ketosphinganine	Chemical	MESH:C002882
Diacylglycerol	Chemical	MESH:D004075
Sphingosine	Chemical	MESH:D013110
Ceramide	Chemical	MESH:D002518
Dihydroceramide	Chemical	MESH:C109343
Sphingomyelin	Chemical	MESH:D013109
Dihydroceramide	Chemical	MESH:C109343
Ceramide	Chemical	MESH:D002518
Phosphorylethanolamine	Chemical	MESH:C005448
Ceramide	Chemical	MESH:D002518
ATP	Chemical	MESH:D000255
Ceramide	Chemical	MESH:D002518
