word	type	identifier
DMF	Chemical	MESH:C503868
Br	Chemical	MESH:C068746
NaNO2	Chemical	MESH:D012964
AcOH	Chemical	MESH:C031356
H2O	Chemical	MESH:D014867
O	Chemical	MESH:D013481
Et	Chemical	MESH:C526612
O	Chemical	MESH:D013481
2-Cl	Chemical	MESH:D002713
R= Me  DMF	Chemical	MESH:C503868
Br	Chemical	MESH:C068746
Br	Chemical	MESH:C068746
NH4	Chemical	MESH:D000641
DMF	Chemical	MESH:C503868
Br	Chemical	MESH:C068746
Br	Chemical	MESH:C068746
Et	Chemical	MESH:C526612
DMF	Chemical	MESH:C503868
Br	Chemical	MESH:C068746
Br	Chemical	MESH:C068746
Et	Chemical	MESH:C526612
R-2-Cl	Chemical	MESH:D002713
