word	source	identifier
UDP	MESH	D014530
Xylose ArabinoseO	MESH	D001089
D-galacturonic acid	MESH	C007819
ArabinonylanD	MESH	C007792
ADP	MESH	D000244
2OC O GBSS	MESH	C118855
UDP-D-glacone	MESH	D014530
O	MESH	D013481
Nacetyl Galactosamine	MESH	D005688
Carbohydrate	MESH	D002241
Galactaric acid	MESH	C000090
Gluconate	MESH	D005942
Glucopyranosyl L6 glacinol	MESH	C504607
Fructose	MESH	D005632
Glaconic acid-15-lacene	MESH	C515378
Glucuronic acid	MESH	D020723
Galactapyranonyl		
galactopyranoside	MESH	D005690
Pentose phosphate	MESH	D010429
Mannone		
Nacenyl Mannosamine	MESH	C008322
Hisidine		
alphaalpha-D-trehalose	MESH	C409469
Arabinoik acid-1,4latone	MESH	C082768
Glucopyranoside	MESH	C117506
heptone		
Gucarie acid-1,4-lacone	MESH	C082768
Ribonic acid-14-lactone	MESH	C032687
13-dihydronyaceton	MESH	C513342
myo-Inosiol-1+nyo	MESH	C522932
Glycine	MESH	D005998
Serine 3PG	MESH	C047902
Glycerol	MESH	D005990
Sphingosine	MESH	D013110
Alanine	MESH	D000409
Tyrosine		
Leucine	MESH	C038361
Valine	MESH	C521924
Iseleine		
Uracil Uridine	MESH	D014529
Phenylalanine Cinnamie acid Fendic acid	MESH	C119108
UMP Malonnic acid Aapuragine	MESH	D014542
alcohol	MESH	D000431
beta-alanine	MESH	D015091
Aspartate		
ADPGADPGle-ADPGe		
TCA	MESH	C000589078
Cis-acotinic acid	MESH	C013792
2aminoadipie acid Lysine	MESH	C114808
homoserine	MESH	C088386
Succinate	MESH	D013386
Threonine	MESH	C061951
2-onoglatarie acid	MESH	C021591
Adonine		
3-lydronypyridine	MESH	C039620
2-Amino	MESH	D000596
4inobutyrate Amino butanoke acid	MESH	D000596
Guanosine	MESH	D006151
Spennine		
Onithine		
Proline	MESH	C489032
