word	mesh	match	name	doid
Acute myeloid leukemia	mesh:D015470	NA	NA	NA
Prostate cancer	mesh:D011471	NA	NA	NA
Glioma  Glioma	mesh:D005910	Glioma	brain glioma	doid:0060108
Chronic myeloid leukemia	mesh:D015464	NA	NA	NA
Smal cell lung cancer	mesh:D008175	NA	NA	NA
Pancreatic cancer	mesh:D010190	NA	NA	NA
Small cell lung cancer	mesh:D055752	NA	NA	NA
Esonerioa goli infection  Renal cell carcinoma	mesh:C538614	NA	NA	NA
Renal cell carcinoma	mesh:C538614	NA	NA	NA
Cotorectal cancer	mesh:D009369	NA	NA	NA
Colorectal cancer	mesh:D015179	NA	NA	NA
Bladder cancer	mesh:D001749	NA	NA	NA
cancer	mesh:D009369	NA	NA	NA
Endometrial cancer	mesh:D016889	NA	NA	NA
Thyroid cancer	mesh:D013964	NA	NA	NA
Melanoma  Agoptosis  Apoptosis Melanoma	mesh:D008545	NA	NA	NA
Glioma	mesh:D005910	Glioma	brain glioma	doid:0060108
lung cancer	mesh:D008175	NA	NA	NA
Melanoma	mesh:D008545	NA	NA	NA
