word	source	identifier
Glucose	MESH	D005947
Glucose 6-phosphate	MESH	D019298
6-Phosphogluconic acid	MESH	C487573
Glucono-1,5-lactone 6-phosphate	MESH	C106477
NADP	MESH	D009249
NADPH	MESH	D009249
Fructose 6-phosphate	MESH	C027618
Glutathione	MESH	D005978
Glutathlone		
GSH	MESH	D005978
GSSG	MESH	D019803
Fructose 1,8-diphosphate	MESH	C029063
Glu	MESH	C094686
Glyoeraldehyde 3-Phosphate	MESH	D010710
Giyoerate-1,3-bisphosphate	MESH	C115960
Cystine	MESH	D003553
Ser	MESH	C530429
3-Phosphoglyceric acid	MESH	C039620
Gly	MESH	C070361
L-Gultamyl-L-Cysteine	MESH	D003545
2-Phosphoglyceric acid	MESH	C021591
Phosphoenolpyruvic acid	MESH	D000596
Lactic acid	MESH	D019344
Pyruvic acid	MESH	D019289
