word	mesh	match	name	doid
SARS.COV N	mesh:D045169	NA	NA	NA
SARS CV-2N, MERS-CoV N	mesh:D056728	NA	NA	NA
SARS	mesh:D045169	NA	NA	NA
SARS	mesh:D045169	NA	NA	NA
SARS	mesh:D045169	NA	NA	NA
SARS	mesh:D045169	NA	NA	NA
SARS	mesh:D045169	NA	NA	NA
SARS	mesh:D045169	NA	NA	NA
SARS	mesh:D045169	NA	NA	NA
SARS CVN	mesh:D045169	NA	NA	NA
MERS-CoV	NA	NA	NA	NA
SARS OWN	mesh:D045169	NA	NA	NA
SARS	mesh:D045169	NA	NA	NA
MERS-CoV	NA	NA	NA	NA
SARS	mesh:D045169	NA	NA	NA
SARS	mesh:D045169	NA	NA	NA
SARS	mesh:D045169	NA	NA	NA
SARS	mesh:D045169	NA	NA	NA
SARS	mesh:D045169	NA	NA	NA
SARS	mesh:D045169	NA	NA	NA
SARS	mesh:D045169	NA	NA	NA
SARS	mesh:D045169	NA	NA	NA
SARS	mesh:D045169	NA	NA	NA
SARS COV	mesh:D045169	NA	NA	NA
SARS	mesh:D045169	NA	NA	NA
SARS	mesh:D045169	NA	NA	NA
SARS	mesh:D045169	NA	NA	NA
SARS CVIN	mesh:D045169	NA	NA	NA
SARS	mesh:D045169	NA	NA	NA
SARS OWN	mesh:D045169	NA	NA	NA
