word	mesh	match	name	doid
Gastric cancer	mesh:D013274	NA	NA	NA
tumor	mesh:D009369	NA	NA	NA
Renal cancer	mesh:D007680	NA	NA	NA
melanoma	mesh:D008545	NA	NA	NA
Epithelial ovarian E Laryngeal squamous	mesh:D000077216	NA	NA	NA
carcinoma	mesh:D002277	Carcinoma	spindle cell carcinoma	doid:4015
cancer	mesh:D009369	NA	NA	NA
aroplosis	NA	NA	NA	NA
Osteosarcoma	mesh:D012516	Osteosarcoma	bone sarcoma	doid:0080639
Diabetes mellitus	mesh:D003920	NA	NA	NA
DM	mesh:D009223	NA	NA	NA
Fracture	mesh:D050723	NA	NA	NA
