word	source	identifier
Galactose	MESH	D005690
sucrose	MESH	D013395
Ser	MESH	C530429
Trp	MESH	C509690
Amino sugar	MESH	D000606
nucleotide	MESH	D009711
sugar	MESH	D002241
Am	MESH	D000666
Val	MESH	C081489
Leu	MESH	C038361
Valine	MESH	C521924
Leucine	MESH	C038361
Isoleucine	MESH	C043801
Methane	MESH	D008697
Putrescine	MESH	D011700
Spermidine	MESH	D013095
Spermine	MESH	D013096
Alanine	MESH	D000409
Aspartate		
glutamate		
Ala	MESH	C026593
Glu	MESH	C094686
Ornithine	MESH	C008973
Asp	MESH	C108952
TCA	MESH	C000589078
Arg	MESH	C076685
Lys	MESH	C026591
Asn	MESH	C528802
Arginine	MESH	D001127
Proline	MESH	C489032
Amino	MESH	D000596
Cyanoamino acids	MESH	C485200
Nitrogen	MESH	D009584
Aminoacyl	MESH	C558391
Glycine	MESH	D005998
serine	MESH	C047902
threonine	MESH	C061951
