word	mesh	match	name	chebi
Fructose	mesh:D005632	Fructose	fructose	chebi:28757
Sucrose	mesh:D013395	Sucrose	sucrose	chebi:17992
Sucrose	mesh:D013395	Sucrose	sucrose	chebi:17992
GDP	mesh:D006153	Guanosine Diphosphate	GDP	chebi:17552
D-Fructose	mesh:D005632	Fructose	fructose	chebi:28757
nucleotide	mesh:D009711	Nucleotides	nucleotide	chebi:36976
CDP glucose	mesh:C073881	NA	NA	NA
UDP	mesh:D014530	Uridine Diphosphate	UDP	chebi:17659
ADP-glucose	mesh:D000245	Adenosine Diphosphate Glucose	ADP alpha-D-glucoside	chebi:15751
D-Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
D-Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
D-O-P	mesh:D010695	Phlorhizin	phlorizin	chebi:8113
D-Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
