word	type	identifier
CHOH	Chemical	MESH:C103208
MELAN	Chemical	MESH:D058965
methyl	Chemical	MESH:C031105
formyl	Chemical	MESH:C053858
formate	Chemical	MESH:D005561
methylene HiF	Chemical	MESH:C471213
methyl	Chemical	MESH:C031105
formyl	Chemical	MESH:C053858
Serine	Chemical	MESH:C047902
Glycine	Chemical	MESH:D005998
Ethanol	Chemical	MESH:D000431
Serine	Chemical	MESH:C047902
D-glacenate-P	Chemical	MESH:D010695
Glaceno-15-lactone-P	Chemical	MESH:D007783
Pyruvate	Chemical	MESH:D011773
Glejaldehyde	Chemical	NA
Acetaldehyde	Chemical	MESH:D000079
TCA	Chemical	MESH:C000589078
Acetyl	Chemical	MESH:C011632
Succinate	Chemical	MESH:D013386
Succinyl-Ca	Chemical	MESH:D002118
Acetyl	Chemical	MESH:C011632
PHB	Chemical	MESH:C514366
Ca	Chemical	MESH:D002118
phosphate	Chemical	MESH:D010710
R-3-Hydroxybutyl-Ca	Chemical	MESH:D002118
(2R)-ethylmalery-Col	Chemical	MESH:C057112
Mesaco-Ca	Chemical	MESH:D002118
