word	mesh	match	name	chebi
phosphoethanolamine	mesh:C005448	NA	NA	NA
dihydrosphingosine	mesh:C005682	NA	NA	NA
CDP-ethanolamine	mesh:C006933	CDP-ethanolamine	CDP ethanolamine	chebi:16732
dihydroceramide	mesh:C109343	NA	NA	NA
fatty acyl-CoA	mesh:D000214	NA	NA	NA
aldehyde	mesh:D000447	Aldehydes	aldehyde	chebi:17478
ceramides	mesh:D002518	Ceramides	ceramide	chebi:17761
cystathionine	mesh:D003540	Cystathionine	cystathionine	chebi:17755
cysteine	mesh:D003545	Cysteine	cysteine	chebi:15356
CDP-choline	mesh:D003566	Cytidine Diphosphate Choline	CDP-choline	chebi:16436
Dihydroxyacetone-P04	mesh:D004098	Dihydroxyacetone	dihydroxyacetone	chebi:16016
Ethanolamine	mesh:D004983	Ethanolamines	ethanolamines	chebi:23981
Folate	mesh:D005492	Folic Acid	folic acid	chebi:27470
glutathione	mesh:D005978	Glutathione	glutathione	chebi:16856
glycine	mesh:D005998	Glycine	glycine	chebi:15428
Met	mesh:D008715	NA	NA	NA
3-phosphate	mesh:D010710	NA	NA	NA
phosphocholine	mesh:D010767	Phosphorylcholine	phosphocholine	chebi:18132
serine	mesh:D012694	Serine	L-serine	chebi:17115
