word	source	identifier
Lignin	MESH	D008031
Pinoresinol	MESH	C103298
Succinyl	MESH	C035687
muconolactone	MESH	C039879
Diarylpropane		
enol-lactone	MESH	C405611
Vanillate	MESH	C043606
cis-muconate  B-Ketoadipyl-CoA  B-Aryl ether	MESH	C005939
Acetyl-CoA	MESH	D000105
Coniferyl aldehyde	MESH	C075384
B Fatty acid	MESH	D005227
C B	MESH	C014396
Fatty acid	MESH	D005227
Malonyl-CoA	MESH	D008316
acyl CoA	MESH	D000214
C acyl CoA	MESH	D000214
Acyl	MESH	D000214
Malonyl	MESH	D008316
3-Ketoacyl-CoA	MESH	C065987
Enoyl	MESH	C530366
Trans-2-enoyl	MESH	C530366
3-Ketoacyl-ACP	MESH	C526054
(S)-3-Hydroxyacyl- CoA FadB	MESH	C483748
3-Nydroxyacyl	MESH	C039620
Acetoacetyl	MESH	C010667
N	MESH	D009584
PHA	MESH	C568742
3-Hydroxyfatty acid	MESH	C021396
(R)-3-Hydroxyacyl-CoA	MESH	C065987
fatty acid	MESH	D005227
