word	type	identifier
Glucose	Chemical	MESH:D005947
Pyruvate	Chemical	MESH:D011773
Acetyl-CoA	Chemical	MESH:D000105
Oxaloacetate	Chemical	MESH:D010071
TCA	Chemical	MESH:C000589078
TCA	Chemical	MESH:C000589078
Pentose Phosphate	Chemical	MESH:D010429
Lactate	Chemical	MESH:D019344
Citrate	Chemical	MESH:C102006
Citrate	Chemical	MESH:C102006
Oxaloacetate	Chemical	MESH:D010071
Malonyl-CoA	Chemical	MESH:D008316
Glutamate	Chemical	NA
Citrate	Chemical	MESH:C102006
Glutathione	Chemical	MESH:D005978
Acetyl-CoA	Chemical	MESH:D000105
Glutathione	Chemical	MESH:D005978
Fatty Acids	Chemical	MESH:D005227
Fatty Acids	Chemical	MESH:D005227
NADPH	Chemical	MESH:D009249
Fatty Acid	Chemical	MESH:D005227
Acetate	Chemical	MESH:D000085
D-Glucose	Chemical	MESH:D005947
Fatty Acid	Chemical	MESH:D005227
Fatty Acid	Chemical	MESH:D005227
Fatty Acids	Chemical	MESH:D005227
