word	mesh	match	name	doid
cholestasis	mesh:D002779	NA	NA	NA
hemophilia B	mesh:D002836	NA	NA	NA
factor XI deficiency	mesh:D005173	NA	NA	NA
diabetic retinopathy	mesh:D003920	NA	NA	NA
acromegaly	mesh:D000172	NA	NA	NA
hypertension	mesh:D006973	NA	NA	NA
fatty liver disease	mesh:D005234	NA	NA	NA
retinal vascular disease	mesh:D012164	NA	NA	NA
inherited metabolic disorder	mesh:D008661	NA	NA	NA
myocardial infarction	mesh:D009203	NA	NA	NA
artery disease	mesh:D002539	NA	NA	NA
liver cirrhosis	mesh:D008103	NA	NA	NA
ischemia	mesh:D007511	NA	NA	NA
brain disease	mesh:D001927	NA	NA	NA
drug-induced hepatitis	mesh:D056486	NA	NA	NA
nutrition disease	mesh:D044342	NA	NA	NA
kidney disease	mesh:D007674	NA	NA	NA
pancreatitis	mesh:D010195	NA	NA	NA
polycystic ovary syndrome	mesh:D011085	NA	NA	NA
urinary system disease	mesh:D001745	NA	NA	NA
chronic kidney failure	mesh:D007676	NA	NA	NA
sclerosis	mesh:D012598	NA	NA	NA
lymphocytic choriomeningitis	mesh:D008216	NA	NA	NA
Prion diseases	mesh:D017096	NA	NA	NA
Chagas disease	mesh:D014355	Chagas disease	Chagas Disease	doid:12140
demyelinating disease	mesh:D003711	NA	NA	NA
Staphylococcus aureus infection	mesh:D013203	NA	NA	NA
lupus erythematosus	mesh:D008180	NA	NA	NA
Type I diabetes mellitus Rheumatoid arthritis	mesh:D003922	NA	NA	NA
Leishmaniasis	mesh:D007896	NA	NA	NA
Inflammatory bowel disease	mesh:D015212	NA	NA	NA
Tuberculosis  Toxoplasmosis	mesh:D014123	NA	NA	NA
Autoimmune thyroid disease	mesh:D013967	NA	NA	NA
Viral myocarditis	mesh:D009205	NA	NA	NA
T-cell leukemia virus 1 infection Epstein-Barr virus infection	mesh:D020031	NA	NA	NA
Bladder cancer	mesh:D001749	NA	NA	NA
Hepatocellular carcinoma	mesh:D006528	NA	NA	NA
