word	type	identifier
Naringenin	Chemical	MESH:C005273
Flavonoids	Chemical	MESH:D005419
Phenylalanine	Chemical	MESH:C119108
Naringenin	Chemical	MESH:C005273
Phenylalanine	Chemical	MESH:C119108
ammonia	Chemical	MESH:D000641
Naringenin Chalcone	Chemical	MESH:C027329
Naringenin	Chemical	MESH:C005273
Cinnamic acid	Chemical	MESH:C029010
Malonyl-CoA	Chemical	MESH:D008316
Cinnamate	Chemical	MESH:D002934
OH Choalcone	Chemical	MESH:C031356
p-Coumaric acid	Chemical	MESH:C032171
Para-Coumarate	Chemical	MESH:C573280
Para-Coumaroyl-CoA	Chemical	MESH:C058644
