word	source	identifier
Lathosterol	MESH	C001521
24-Methylenecholesterol	MESH	C002537
Brassicasterol	MESH	C003532
Cycloeucalenol	MESH	C007198
Obtusifoliol	MESH	C008693
Zymosterol	MESH	C015582
zymosterol	MESH	C015582
Isofucosterol	MESH	C015896
7-Dehydrocholesterol	MESH	C016705
Campesterol	MESH	C021273
Fecosterol	MESH	C039241
Episterol	MESH	C060242
Cycloartenol	MESH	C100089
cycloartenol	MESH	C100089
bile acid	MESH	D001647
Calcidiol	MESH	D002112
Calcitriol	MESH	D002117
Vitamin D3	MESH	D002762
Cholesterol	MESH	D002784
Desmosterol	MESH	D003897
2,3-epoxide	MESH	D004852
Vitamin D2	MESH	D004872
Ergosterol	MESH	D004875
ester	MESH	D004952
Lanosterol	MESH	D007810
lanosterol	MESH	D007810
Phytosterol	MESH	D010840
Sitosterol	MESH	D012855
Squalene	MESH	D013185
Steroid	MESH	D013256
Sterol	MESH	D013261
Stigmasterol	MESH	D013265
Terpenoid	MESH	D013729
Brassinosteroid	MESH	D060406
