word	source	identifier
Acetoacetic acid	MESH	C016635
Malic acid	MESH	C030298
Fumaric acid	MESH	C032005
Isocitric acid	MESH	C034219
Glucosaminic acid	MESH	C035547
Glyceric acid	MESH	C042971
cis-Aconitic acid	MESH	D000156
Ala	MESH	D000409
Arg	MESH	D001120
Asp	MESH	D001224
Glucosamine	MESH	D005944
Glucose	MESH	D005947
GDP-fucose	MESH	D006154
Malonyl-CoA	MESH	D008316
Phosphate	MESH	D010710
UDP	MESH	D014530
Glu	MESH	D018698
Pyruvic acid	MESH	D019289
Citric acid	MESH	D019343
Lactic acid	MESH	D019344
Succinic acid	MESH	D019802
Glucuronic acid	MESH	D020723
Oxaloacetic acid	MESH	D062907
