word	source	identifier
Glucose Lysine	MESH	D005947
hydroxylysine	MESH	C010991
tryptophan Glutamine		
glucosamine	MESH	D005944
Cysteine	MESH	D003545
Methionine	MESH	D008715
Gluconate	MESH	D005942
Glucose	MESH	D005947
ketoadipic acid	MESH	C027316
Choline	MESH	D002794
Dimethylglycine	MESH	C025138
6-phosphogluconate	MESH	C008884
NADP	MESH	D009249
Glucose-dphosphate	MESH	D005947
Ascorbie acid	MESH	D000596
S-adenosylmethionine	MESH	D012436
Myo-inositol	MESH	C572459
Trehalose	MESH	D014199
NADPH	MESH	D009249
S-adenosyl-homoeysteine Trimethylglycine	MESH	C016207
Fructose-6-phosphate	MESH	C027618
Glucosamine-6-phosphate	MESH	C001293
Glutamine	MESH	C578860
Ribulose s-phosphate	MESH	C031524
Aspartate		
Glucuronic acid	MESH	D020723
Glutamate		
Homocystelne		
N-acetylglueosanine-1/6-phosphate	MESH	D010710
UTP	MESH	D014544
UDP	MESH	D014530
N-Acetyl-Glucosamine	MESH	D000117
Serine	MESH	C047902
Pyroglutamie acid Glutathione	MESH	D005978
Glycine	MESH	D005998
Cystathionine	MESH	D003540
Ribose d-phosphate	MESH	C031154
Carbamoyl phosphate	MESH	D002221
Glucarie acid	MESH	D000596
phosphate	MESH	D010710
Pyruvate	MESH	D011773
Taurine	MESH	D013654
Pyridoxal phosphate	MESH	D011732
dUDP	MESH	D014530
2-amino-butyric acid	MESH	D020148
Ophthalmie acid	MESH	D000596
GDP	MESH	D006153
GMP	MESH	C068152
Inosine	MESH	D007288
AMP	MESH	D000249
Cytidine	MESH	D003562
Guanosine	MESH	D006151
Hyposanthine		
Pyridoxate	MESH	C420692
Adenosine xanthine	MESH	D019820
Uridine	MESH	D014529
Dihydrouracil	MESH	C007419
Uric acid	MESH	D014527
Uracil	MESH	D014498
Acetyl-CoA	MESH	D000105
Okaloacetate		
Citrate	MESH	C102006
Carbamoyl	MESH	D002221
Argininosuccinate	MESH	C042049
NADH	MESH	D009243
Ornithine Urea	MESH	D014508
NAD	MESH	D009243
Histidine	MESH	C115717
Arginine	MESH	D001127
TCA	MESH	C000589078
Histamine	MESH	D006632
Homocarnosine	MESH	C005038
Guanidinoacetic acid	MESH	C004946
Oxaloacetate	MESH	D010071
Creatine	MESH	D003401
GTP GDP	MESH	D006153
P	MESH	D010695
Succinate	MESH	D013386
Succinyl-CoA	MESH	C012046
CoA	MESH	C065987
N-acetylglutamate	MESH	D009584
Re	MESH	D012211
Pyrimidine	MESH	C030986
Purine	MESH	D011687
