word	mesh	match	name	chebi
Phosphoeno pyruvic	mesh:D019289	NA	NA	NA
Flavanone	mesh:D044950	Flavanones	flavanones	chebi:28863
Erythrose-4-phosphate	mesh:C026959	NA	NA	NA
Ba	mesh:D001464	NA	NA	NA
CHI	mesh:C084533	NA	NA	NA
Chalcone	mesh:D047188	Chalcones	chalcones	chebi:23086
Shikimic acid	mesh:D012765	NA	NA	NA
Dihydrochalcone	mesh:C015812	dihydrochalcone	dihydrochalcone	chebi:71231
L-phenylalanine	mesh:C119108	Leu-Phe	leucyl-phenylalanine	chebi:73585
Phenylalanin	NA	NA	NA	NA
cinnamate	mesh:D002934	Cinnamates	cinnamates	chebi:36091
ammonia	mesh:D000641	Ammonia	ammonia	chebi:16134
malonyl-CoA	mesh:D008316	Malonyl Coenzyme A	malonyl-CoA	chebi:15531
4-coumanoyl-CoA	mesh:C065987	NA	NA	NA
Stilbenes	mesh:D013267	Stilbenes	stilbenoid	chebi:26776
Coumarins	mesh:C030123	NA	NA	NA
