word	type	identifier
Lactate	Chemical	MESH:D019344
Glucose	Chemical	MESH:D005947
Lactate	Chemical	MESH:D019344
Glucose	Chemical	MESH:D005947
Pyruvate	Chemical	MESH:D011773
Pyruvate	Chemical	MESH:D011773
Acetyl-CoA	Chemical	MESH:D000105
ACACA	Chemical	NA
ACACA	Chemical	NA
Acetyl-CoA	Chemical	MESH:D000105
Co	Chemical	MESH:C065987
Fatty Acids	Chemical	MESH:D005227
Acryl	Chemical	MESH:C068708
Acyl-CoA	Chemical	MESH:D000214
Fatty Acids	Chemical	MESH:D005227
Acyl-CoA	Chemical	MESH:D000214
Lactate	Chemical	MESH:D019344
Glucose	Chemical	MESH:D005947
Lactate	Chemical	MESH:D019344
Glucose	Chemical	MESH:D005947
Pyruvate	Chemical	MESH:D011773
Pyruvate	Chemical	MESH:D011773
ACACA	Chemical	NA
Acetyl-CoA	Chemical	MESH:D000105
PDM	Chemical	MESH:C035639
ACACA	Chemical	NA
Acetyl-CoA	Chemical	MESH:D000105
Co	Chemical	MESH:C065987
Fatty Acids	Chemical	MESH:D005227
Acetyl	Chemical	MESH:C011632
Acyl-CoA	Chemical	MESH:D000214
Fatty Acids	Chemical	MESH:D005227
Acyl-CoA	Chemical	MESH:D000214
