word	mesh	match	name	chebi
benzyl benzoate	mesh:C006723	benzyl benzoate	benzyl benzoate	chebi:41237
Coniferyl Alcohol	mesh:C010559	coniferol	coniferyl alcohol	chebi:17745
phenylacetaldehyde	mesh:C013192	NA	NA	NA
t-cinnamic acid	mesh:C029010	NA	NA	NA
methyl salicylate	mesh:C033069	NA	NA	NA
isoeugenol	mesh:C036643	NA	NA	NA
benzoyl-CoA	mesh:C037817	benzoyl-CoA	benzoyl-coenzyme A	chebi:15515
methyl benzoate	mesh:C044605	methyl benzoate	methyl benzoate	chebi:72775
benzyl acetate	mesh:C046412	benzyl acetate	benzyl acetate	chebi:52051
3-oxo-3-phenylpropionyl-CoA	mesh:C078024	3-phenylpropanoyl-CoA	phenylpropionyl-coenzyme A	chebi:85675
benzaldehyde	mesh:D001547	Benzaldehydes	benzaldehydes	chebi:22698
eugenol	mesh:D005054	Eugenol	eugenol	chebi:4917
2-phenylethanol	mesh:D010626	Phenylethyl Alcohol	2-phenylethanol	chebi:49000
phenylalanine	mesh:D010649	Phenylalanine	phenylalanine	chebi:28044
benzoic acid	mesh:D019817	benzoic acid	Benzoic Acid	chebi:30746
benzyl alcohol	mesh:D019905	Benzyl Alcohol	benzyl alcohol	chebi:17987
