word	mesh	match	name	chebi
Spermidine	mesh:D013095	Spermidine	spermidine	chebi:16610
Methionine	mesh:D008715	NA	NA	NA
Homocysteine	mesh:D006710	Homocysteine	homocysteine	chebi:17230
Taurine	mesh:D013654	Taurine	taurine	chebi:15891
S-Adenosylmethionine	mesh:D012436	NA	NA	NA
Spermine	mesh:D013096	Spermine	spermine	chebi:15746
S-Adenosylhomocysteine	mesh:D012435	S-Adenosylhomocysteine	S-adenosyl-L-homocysteine	chebi:16680
Histidine	mesh:C115717	NA	NA	NA
Beta-alanine	mesh:D015091	beta-Alanine	beta-alanine	chebi:16958
Aspartic acid	mesh:C403564	NA	NA	NA
Alanine	mesh:D000409	Alanine	alanine	chebi:16449
Carnosine	mesh:D002336	Carnosine	carnosine	chebi:15727
Carnosine	mesh:D002336	Carnosine	carnosine	chebi:15727
Arginine	mesh:D001127	Arginine Vasopressin	argipressin	chebi:34543
Ornithine	mesh:C008973	NA	NA	NA
Creatine	mesh:D003401	Creatine	creatine	chebi:16919
Creatinine	mesh:D003404	Creatinine	creatinine	chebi:16737
Spermidine	mesh:D013095	Spermidine	spermidine	chebi:16610
Aspartic acid	mesh:C403564	NA	NA	NA
Spermine Polyamine	mesh:D011073	NA	NA	NA
Glycine	mesh:D005998	Glycine	glycine	chebi:15428
Histidine	mesh:C115717	NA	NA	NA
Serine	mesh:C047902	NA	NA	NA
Phenylalanine	mesh:C119108	Leu-Phe	leucyl-phenylalanine	chebi:73585
Threonine	mesh:C061951	Gly-Thr	glycyl-threonine	chebi:73920
Tyrosine	NA	NA	NA	NA
