word	mesh	match	name	doid
Ewing/Osteosarcoma	mesh:C563168	NA	NA	NA
Rhabdomyosarcoma	mesh:D012208	NA	NA	NA
Pancreatic cancer	mesh:D010190	NA	NA	NA
Ovarian cancer	mesh:D010051	NA	NA	NA
Prostate cancer	mesh:D011471	NA	NA	NA
Leukemia	mesh:D007938	NA	NA	NA
Glioblastoma	mesh:D005909	NA	NA	NA
cancer	mesh:D009369	NA	NA	NA
Esophageal cancer	mesh:D004938	NA	NA	NA
Neuroblastoma	mesh:D009447	NA	NA	NA
cancer	mesh:D009369	NA	NA	NA
Colon cancer	mesh:D015179	NA	NA	NA
cancer	mesh:D009369	NA	NA	NA
Breast cancer	mesh:D001943	NA	NA	NA
NMS	mesh:D009459	NA	NA	NA
carcinoma	mesh:D002277	Carcinoma	spindle cell carcinoma	doid:4015
cancer	mesh:D009369	NA	NA	NA
Esophageal cancer	mesh:D004938	NA	NA	NA
Liver cancer	mesh:D006528	NA	NA	NA
Prostate cancer	mesh:D011471	NA	NA	NA
Glioblastoma	mesh:D005909	NA	NA	NA
Medulloblastoma	mesh:D008527	Medulloblastoma	cerebellar medulloblastoma	doid:0060104
cancer	mesh:D009369	NA	NA	NA
Breast cancer	mesh:D001943	NA	NA	NA
HER2 TNKS1  Lymphoma	mesh:D008223	NA	NA	NA
Melanoma	mesh:D008545	NA	NA	NA
