word	type	identifier
PUFA	Chemical	MESH:D015525
PUFA	Chemical	MESH:D015525
Mevalonate	Chemical	MESH:D008798
PUFA	Chemical	MESH:D015525
ubiquinol	Chemical	MESH:C003741
Fe2+	Chemical	MESH:D007501
Glu	Chemical	MESH:C094686
Fe2+	Chemical	MESH:D007501
Fe2+	Chemical	MESH:D007501
Glu	Chemical	MESH:C094686
GSH	Chemical	MESH:D005978
GSSG	Chemical	MESH:D019803
Fe3+	Chemical	MESH:D007501
Fe3+	Chemical	MESH:D007501
cystine	Chemical	MESH:D003553
cystine	Chemical	MESH:D003553
NADP	Chemical	MESH:D009249
NADPH	Chemical	MESH:D009249
Fe3+Fe3+	Chemical	MESH:D007501
Fe3+	Chemical	MESH:D007501
Fe3+	Chemical	MESH:D007501
cysteine	Chemical	MESH:D003545
Cys	Chemical	MESH:C046557
Fe2+	Chemical	MESH:D007501
Fe2+	Chemical	MESH:D007501
pentose phosphate	Chemical	MESH:D010429
Glucose	Chemical	MESH:D005947
