word	mesh	match	name	doid
Basal cell carcinoma	mesh:D002280	NA	NA	NA
Basal cell carcinoma	mesh:D002280	NA	NA	NA
cancer	mesh:D009369	NA	NA	NA
HTLV-infection	mesh:D006800	NA	NA	NA
Breast cancer	mesh:D001943	NA	NA	NA
Breast cancer	mesh:D001943	NA	NA	NA
cancer	mesh:D009369	NA	NA	NA
HTLV-1 infection	mesh:D006800	NA	NA	NA
Prostate cancer	mesh:D011471	NA	NA	NA
Salmonella infection Legionellosis	mesh:D007876	NA	NA	NA
Tuberculosis	mesh:D014376	NA	NA	NA
trypanosomiasis	mesh:D014352	NA	NA	NA
Pertsis Chagas disease	mesh:D014355	Chagas disease	Chagas Disease	doid:12140
trypanosomiasis	mesh:D014352	NA	NA	NA
