word	source	identifier
propionyl-CoA	MESH	C009061
phenylacetaldehyde	MESH	C013192
trans-cinnamoyl-CoA	MESH	C022903
2-phenylethylamine	MESH	C029261
propionic acid	MESH	C029658
phenylpyruvic acid	MESH	C031606
benzoyl-CoA	MESH	C037817
aldol	MESH	C116609
eugenol	MESH	D005054
flavonoids	MESH	D005419
O-glucose	MESH	D005947
P-glucose	MESH	D005947
glucose	MESH	D005947
benzoyl-glucose	MESH	D005947
salicyloyl-glucose	MESH	D005947
phenylethanol	MESH	D010626
L-phenylalanine trans-cinnamic acid	MESH	D010649
phenylalanine	MESH	D010649
benzoic acid	MESH	D019817
salicylic acid	MESH	D020156
