word	mesh	match	name	doid
Melanoma	mesh:D008545	NA	NA	NA
Small cell lung cancer	mesh:D055752	NA	NA	NA
Epstein-Barr virus infection	mesh:D020031	NA	NA	NA
HTLV-1 infectionHepatitis C	mesh:C537418	NA	NA	NA
Viral carcinogenesis	mesh:D063646	NA	NA	NA
Prostate cancer	mesh:D011471	NA	NA	NA
Hepatitis B	mesh:D006509	NA	NA	NA
cancer	mesh:D009369	NA	NA	NA
Pancreatic cancer	mesh:D010190	NA	NA	NA
Toxoplasmosis	mesh:D014123	NA	NA	NA
Colorectal carcer  Gloma	mesh:D015179	NA	NA	NA
diabetes mellitus	mesh:D003920	NA	NA	NA
cancer	mesh:D009369	NA	NA	NA
Non-small cell lung cancer	mesh:D002289	NA	NA	NA
Non-alcoholic fatty liver disease	mesh:D065626	Non-alcoholic Fatty Liver Disease	non-alcoholic fatty liver disease	doid:0080208
Chronic myeloid leukemia	mesh:D015464	NA	NA	NA
Amoebiasis  Leishmaniasis	mesh:D000562	NA	NA	NA
Acute myeloid leukemia	mesh:D015470	NA	NA	NA
Endometrial cancer	mesh:D016889	NA	NA	NA
cancer	mesh:D009369	NA	NA	NA
Chagas disease	mesh:D014355	Chagas disease	Chagas Disease	doid:12140
trypanosomiasis	mesh:D014352	NA	NA	NA
Tuberculosis	mesh:D014376	NA	NA	NA
cytotoxicity	mesh:D064420	NA	NA	NA
