word	mesh	match	name	doid
Epstein-Barr virus  infection	mesh:D020031	NA	NA	NA
sarcoma	mesh:D012509	Sarcoma	sarcoma	doid:1115
immunodeficiency	mesh:D007153	NA	NA	NA
Pertussis Legionellosis	mesh:D007876	NA	NA	NA
Chagas disease Angebiasis	mesh:D014355	Chagas disease	Chagas Disease	doid:12140
Viral myocarditis	mesh:D009205	NA	NA	NA
Rheumatoid	mesh:D001172	NA	NA	NA
arthritis	mesh:D001168	NA	NA	NA
Malaria	mesh:D008288	NA	NA	NA
aureus infection	mesh:D013203	NA	NA	NA
cancer	mesh:D009369	NA	NA	NA
carcinogenesis	mesh:D063646	NA	NA	NA
Leishmaniasis	mesh:D007896	NA	NA	NA
Inflammatory bowel	mesh:D015212	NA	NA	NA
atherosclerosis	mesh:D050197	NA	NA	NA
Pancreatic secretion	mesh:D010195	NA	NA	NA
Toxoplasmosis	mesh:D014123	NA	NA	NA
Tuberculosis	mesh:D014376	NA	NA	NA
leukemia	mesh:D007938	NA	NA	NA
Amoebiasis	mesh:D000562	NA	NA	NA
