word	mesh	match	name	doid
renal cell carcinoma	mesh:C538614	NA	NA	NA
goiter	mesh:D006042	NA	NA	NA
hepatomegaly heart  failure	mesh:D006529	NA	NA	NA
fibrosis	mesh:D005355	NA	NA	NA
cancer	mesh:D009369	NA	NA	NA
renal cancer	mesh:D007680	NA	NA	NA
hypertrophy	mesh:D006984	NA	NA	NA
ototoxicity	mesh:D006311	NA	NA	NA
oral cancer	mesh:D009062	NA	NA	NA
toxicity	mesh:D064420	NA	NA	NA
hypothyroidism	mesh:D007037	NA	NA	NA
neoplasm	mesh:D009369	NA	NA	NA
male infertility	mesh:D007248	NA	NA	NA
cirrhosis	mesh:D005355	NA	NA	NA
lung cancer	mesh:D008175	NA	NA	NA
glioma	mesh:D005910	Glioma	brain glioma	doid:0060108
cataract	mesh:D002386	cataract	Cataract	doid:83
myoclonus	mesh:D009207	NA	NA	NA
myoclonic	mesh:D012640	NA	NA	NA
epilepsy	mesh:D004827	NA	NA	NA
neuroblastoma	mesh:D009447	NA	NA	NA
neurological disorder	mesh:D009422	NA	NA	NA
brain malformation	mesh:D000014	NA	NA	NA
seizure	mesh:D012640	NA	NA	NA
