word	mesh	match	name	chebi
CoQ	mesh:C028325	NA	NA	NA
NAD	mesh:D009243	NAD	NAD(+)	chebi:15846
Ferrostatin	mesh:C573944	ferrostatin-1	ferrostatin-1	chebi:173086
Liproxstatin	mesh:C000595890	NA	NA	NA
Vitamin E	mesh:D014810	NA	NA	NA
Deferoxamine	mesh:D003676	Deferoxamine	desferrioxamine B	chebi:4356
Metformin	mesh:D008687	Metformin	metformin	chebi:6801
PUFA	mesh:D015525	Fatty Acids, Omega-3	omega-3 fatty acid	chebi:25681
NAD(P)H	mesh:D009243	NAD	NAD(+)	chebi:15846
iron	mesh:D007501	Iron	iron atom	chebi:18248
PLOO	NA	NA	NA	NA
PUFA-COA	mesh:D015525	Fatty Acids, Omega-3	omega-3 fatty acid	chebi:25681
Glycine	mesh:D005998	Glycine	glycine	chebi:15428
Glutamate	NA	NA	NA	NA
Cystine Erastin	mesh:C477224	erastin	erastin	chebi:94287
Glutamate	NA	NA	NA	NA
PUFA	mesh:D015525	Fatty Acids, Omega-3	omega-3 fatty acid	chebi:25681
Cysteine	mesh:D003545	Cysteine	cysteine	chebi:15356
GSH	mesh:D005978	Glutathione	glutathione	chebi:16856
PLOHGSSG	NA	NA	NA	NA
Cystine	mesh:D003553	Cystine	cystine	chebi:17376
NADPH	mesh:D009249	NA	NA	NA
NADP	mesh:D009249	NA	NA	NA
Fe	mesh:D007501	Iron	iron atom	chebi:18248
Deferiprone	mesh:C044919	NA	NA	NA
PUFA-OOH	mesh:D015525	Fatty Acids, Omega-3	omega-3 fatty acid	chebi:25681
DHODH GSH	mesh:D005978	Glutathione	glutathione	chebi:16856
PLOO	NA	NA	NA	NA
Fe3+	mesh:D007501	Iron	iron atom	chebi:18248
Fe	mesh:D007501	Iron	iron atom	chebi:18248
Fe	mesh:D007501	Iron	iron atom	chebi:18248
FPN	mesh:C121101	NA	NA	NA
