word	type	identifier
O	Chemical	MESH:D013481
Adenosine	Chemical	MESH:D000241
AZA	Chemical	MESH:C000589260
MPTP	Chemical	MESH:D015632
Rolanone	Chemical	NA
MPTP	Chemical	MESH:D015632
AMP	Chemical	MESH:D000249
ATP	Chemical	MESH:D000255
AMP	Chemical	MESH:D000249
ATP	Chemical	MESH:D000255
ATP	Chemical	MESH:D000255
ATP	Chemical	MESH:D000255
ATP ADP	Chemical	MESH:D000244
ADP	Chemical	MESH:D000244
ATP	Chemical	MESH:D000255
ATP	Chemical	MESH:D000255
ATP	Chemical	MESH:D000255
ATP ADP	Chemical	MESH:D000244
Dopamine	Chemical	MESH:D004298
ATP	Chemical	MESH:D000255
Ba	Chemical	MESH:D001464
Depoquinone	Chemical	NA
