word	type	identifier
BMS-986205	Chemical	MESH:C095300
PF-06840003	Chemical	MESH:D010977
L-tryptophan	Chemical	NA
Trp	Chemical	MESH:C509690
N-formyl kynurenine	Chemical	MESH:C029366
Kynurenine	Chemical	MESH:C029366
3-hydroxykynurenine	Chemical	MESH:C402223
KYNU	Chemical	NA
3-hydroxyanthranilic acid	Chemical	MESH:D015095
Trp	Chemical	MESH:C509690
Kynurenic acid	Chemical	MESH:D007736
Aminocarboxymuconic semialdehyde	Chemical	MESH:C009338
Xanthurenic acid	Chemical	MESH:C028330
Quinolinic acid	Chemical	MESH:D017378
NAD	Chemical	MESH:D009243
