word	type	identifier
L-aspartate	Chemical	NA
Pentose phosphate	Chemical	MESH:D010429
N-Carbamayl-4-352304	Chemical	MESH:D009584
Argenine	Chemical	NA
L-Glutamine	Chemical	NA
Alanine	Chemical	MESH:D000409
aspartate	Chemical	NA
UTP	Chemical	MESH:D014544
Orotidine	Chemical	MESH:C008714
ACDP	Chemical	MESH:C067723
glucose	Chemical	MESH:D005947
UTP	Chemical	MESH:D014544
Uridine	Chemical	MESH:D014529
Jeoxyridine	Chemical	NA
Cytosine	Chemical	MESH:D003596
2,3-Cyc	Chemical	MESH:C442399
Thymidine	Chemical	MESH:D013936
3-Methylcytosine	Chemical	MESH:C036386
D-ribose	Chemical	MESH:D012266
5-phosphate	Chemical	MESH:D010710
pihydrouracil	Chemical	NA
Alanine	Chemical	MESH:D000409
Thymine	Chemical	MESH:D013941
3-Oxe-3-ureide	Chemical	MESH:C036060
propanoate	Chemical	MESH:D011422
O Pseudauridine	Chemical	MESH:D013481
3-Ureide	Chemical	MESH:C036060
propionate	Chemical	MESH:D011422
Carbamate	Chemical	MESH:D002219
Thymine	Chemical	MESH:D013941
Alanine	Chemical	MESH:D000409
Malonate	Chemical	MESH:D008314
(2)-3-Ureidoscrylate (2)-3-Perexy Aminoacrylate	Chemical	MESH:C015102
aminoacrylate	Chemical	MESH:C015102
urea	Chemical	MESH:D014508
semialdehyde	Chemical	MESH:C009338
5-Methylbarbiturate	Chemical	MESH:C068492
3-Oxe-3-ureide Methylmalonate	Chemical	MESH:C036060
isobutyrate	Chemical	MESH:D058610
RJ-3-Ureide	Chemical	MESH:C522935
isobutyrate	Chemical	MESH:D058610
R1-3-Amino	Chemical	MESH:D000596
isobutyrate	Chemical	MESH:D058610
3-Hydroxy	Chemical	MESH:D006880
propionate	Chemical	MESH:D011422
