word	source	identifier
1-Acyl-sn-glycerol	MESH	C032881
3-phosphocholine	MESH	D010767
O	MESH	D013481
sn-glycerol	MESH	D014001
sn-Glycerol-3P	MESH	C063388
choline	MESH	D002794
Glycerol-3P	MESH	D005990
Glycerone	MESH	C003037
CDP-glycerol	MESH	C100068
2-Acyl	MESH	D000214
phosphocholine	MESH	D010767
Acyl	MESH	D000214
glycerone-3P	MESH	C003037
O-Acetyl	MESH	D013481
Dimethyl	MESH	C032720
1-Acyl	MESH	D000214
phosphatidyl-O	MESH	C067348
ethanolamine	MESH	D004983
sn-glycerol-3p	MESH	C063388
CDP-choline	MESH	D003566
Choline	MESH	D002794
Pyruvate	MESH	D011773
Dlacyl		
1,2-Diacyl	MESH	C411808
sn-glycerol-3P	MESH	C063388
Monomethyl	MESH	C027265
CDP-dlacyl-glycerol	MESH	C100068
glycerol	MESH	D005990
phosphoinositol Inositol phosphate	MESH	C062528
Ethanolamine	MESH	D004983
3-phosphoserine	MESH	C116995
glycerophosphate	MESH	D005994
1-Acyl-sn-glycerol-3	MESH	C032881
phosphoethanolamine	MESH	C005448
Sn-Glycerol-3P	MESH	C063388
L-serine	MESH	C047902
cardiolipin	MESH	D002308
2-Acyl-sn-glycerol-3	MESH	C032881
2-Acyl-sn-glycerol	MESH	C032881
Lysophosphatidyl	MESH	C008301
phosphoserine	MESH	C054334
Phosphatidylcholines	MESH	D010713
Phosphatidylethanolamines	MESH	C483858
Phosphatidylglycerols	MESH	D010715
Phosphatidylinositols	MESH	D010716
