word	mesh	match	name	doid
hemangioma	mesh:D006391	NA	NA	NA
Phacomatosis  piementovascularis  Venous Malformation	mesh:D020752	NA	NA	NA
Hemorrhagic  Telanglectasia  Syndrome	mesh:D006470	NA	NA	NA
Primary Lymphedema	mesh:D008209	NA	NA	NA
Venous Malformation	mesh:D000014	NA	NA	NA
Hemorrhagic	mesh:D006470	NA	NA	NA
Telangiectasia	mesh:D013684	NA	NA	NA
LUpomatosis	NA	NA	NA	NA
Anomaly	mesh:D000014	NA	NA	NA
Angioma	mesh:D006391	NA	NA	NA
PTEN Hamartorma	mesh:D006223	NA	NA	NA
Megaloencephaly  Capilary Malformation  syndrome	mesh:D000014	NA	NA	NA
