word	mesh	match	name	doid
SIGNALLING IN	mesh:C566796	NA	NA	NA
Chronic kidney disease	mesh:D051436	NA	NA	NA
Diabetic nephropathy	mesh:D003928	NA	NA	NA
hypertension	mesh:D006973	NA	NA	NA
Myocardial ischaemia	mesh:D003324	NA	NA	NA
Diabetic cardiomyopathy	mesh:D058065	NA	NA	NA
Heart failure	mesh:D006333	Heart Failure	congestive heart failure	doid:6000
Erectile dysfunction	mesh:D007172	Erectile Dysfunction	impotence	doid:1875
Benign prostatic hyperplasia  Hyperglycaemia	mesh:D011470	Prostatic Hyperplasia	prostatic hypertrophy	doid:11132
Hypotensive	mesh:D007022	NA	NA	NA
Nonarteritic anterior ischaemic optic neuropathy	mesh:D018917	NA	NA	NA
pulmonary hypertension	mesh:D006976	NA	NA	NA
