word	mesh	match	name	chebi
Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
NADP	mesh:D009249	NA	NA	NA
Serine	mesh:C047902	NA	NA	NA
Aspartate	NA	NA	NA	NA
Glycine	mesh:D005998	Glycine	glycine	chebi:15428
NADPH	mesh:D009249	NA	NA	NA
Ribose-5-P	mesh:D012266	NA	NA	NA
Methylene-THF	mesh:C006461	NA	NA	NA
Thymidine	mesh:D013936	Thymidine	thymidine	chebi:17748
Dihydroorotate	mesh:C004768	dihydroorotic acid	4,5-dihydroorotic acid	chebi:30865
Formyl-THF	mesh:C006461	NA	NA	NA
NADIP	NA	NA	NA	NA
NAD(P)H	mesh:D009243	NAD	NAD(+)	chebi:15846
Fumarate	mesh:D005650	NA	NA	NA
NAD	mesh:D009243	NAD	NAD(+)	chebi:15846
NADH	mesh:D009243	NAD	NAD(+)	chebi:15846
AMP	mesh:D000249	adenosine 5'-monophosphate	Adenosine Monophosphate	chebi:16027
GMP	mesh:C068152	NA	NA	NA
