word	type	identifier
Hydroxy	Chemical	MESH:D006880
pyruvate	Chemical	MESH:D011773
Vitamin B6	Chemical	MESH:D025101
Dihydroxy	Chemical	MESH:C516031
Alanine	Chemical	MESH:D000409
aspartate	Chemical	NA
glutamate	Chemical	NA
aldehyde	Chemical	MESH:D000447
Ethane-1,2-diol	Chemical	MESH:D004980
Glycine	Chemical	MESH:D005998
Phosphoglycolate	Chemical	MESH:C013193
Ribulose	Chemical	MESH:C100182
Oxoglutarate	Chemical	MESH:D007656
L-Glutamine	Chemical	NA
Glycine	Chemical	MESH:D005998
serine	Chemical	MESH:C047902
threonine	Chemical	MESH:C061951
Ribulose	Chemical	MESH:C100182
Serine	Chemical	MESH:C047902
Carbon	Chemical	MESH:D002244
Glyoxylate	Chemical	MESH:D006038
Pentose phosphate	Chemical	MESH:D010429
Purine	Chemical	MESH:D011687
Glutamate	Chemical	NA
