word	mesh	match	name	doid
Hyperglycemia  Glomerular Hypertension	mesh:D006973	NA	NA	NA
Renal hypoxia	mesh:D000860	NA	NA	NA
Diabetic tubulopathy	mesh:D003928	NA	NA	NA
Hyperglycemia and glycosuria	mesh:D006029	NA	NA	NA
inflammation	mesh:D007249	NA	NA	NA
hypertrophy	mesh:D006984	NA	NA	NA
Tubular atrophy	mesh:D005198	NA	NA	NA
inflammation	mesh:D007249	NA	NA	NA
Hyperglycemia	mesh:D006943	NA	NA	NA
glycosuria	mesh:D006029	NA	NA	NA
inflammation	mesh:D007249	NA	NA	NA
proteinuria	mesh:D011507	NA	NA	NA
fibrosis	mesh:D005355	NA	NA	NA
inflammation	mesh:D007249	NA	NA	NA
Hyperglycemia	mesh:D006943	NA	NA	NA
glycosuria	mesh:D006029	NA	NA	NA
proteinuria	mesh:D011507	NA	NA	NA
