word	mesh	match	name	doid
CIA	NA	NA	NA	NA
Psoriasis	mesh:D011565	NA	NA	NA
ACD	mesh:C535474	Corneal dystrophy Avellino type	granular corneal dystrophy 2	doid:0060444
SLE	mesh:D008180	NA	NA	NA
Cardiovascular disease	mesh:D002318	NA	NA	NA
heart failure	mesh:D006333	Heart Failure	congestive heart failure	doid:6000
cardiac hypertrophy	mesh:D006332	NA	NA	NA
hypertension	mesh:D006973	NA	NA	NA
Metabolic diseases	mesh:D008659	NA	NA	NA
Diabetes	mesh:D003920	NA	NA	NA
obesity	mesh:D009765	NA	NA	NA
liver disease	mesh:D008107	NA	NA	NA
