word	type	identifier
Flavonoids	Chemical	MESH:D005419
tricin	Chemical	MESH:C017769
OMe	Chemical	MESH:C091723
OMe	Chemical	MESH:C091723
Hydroxystilbenes	Chemical	MESH:C484543
resveratrol	Chemical	MESH:C059514
Phenylalanine Cinnamic acid	Chemical	MESH:C029010
(MeO)	Chemical	MESH:C526611
p-coumaroyl-CoA	Chemical	MESH:C058644
coumaraldehyde	Chemical	MESH:C117045
p-coumaryl alcohol	Chemical	MESH:C495469
p-coumaroyl	Chemical	MESH:C540136
Acetyl	Chemical	MESH:C011632
Acetate	Chemical	MESH:D000085
p-coumaric	Chemical	MESH:C032171
caffeoyl	Chemical	MESH:C058645
OMe	Chemical	MESH:C091723
Dihydroconiferyl	Chemical	MESH:C106832
alcohol	Chemical	MESH:D000431
(MeO)	Chemical	MESH:C526611
OMe	Chemical	MESH:C091723
Arylpropane	Chemical	NA
1,3-diol	Chemical	MESH:C518382
Caffeic acid	Chemical	MESH:D002109
Caffeoyl-CoA	Chemical	MESH:C058645
Caffeyl aldehyde	Chemical	MESH:D000447
Caffeyl alcohol	Chemical	MESH:D000431
p-hydroxybenzoate	Chemical	MESH:C038193
p-hydroxybenzoyl-CoA  (MeO)	Chemical	MESH:C082323
Ferulic acid	Chemical	MESH:C004999
COMe	Chemical	MESH:C061856
OMe	Chemical	MESH:C091723
Feruloyl-CoA	Chemical	MESH:C119167
OMe	Chemical	MESH:C091723
OMe	Chemical	MESH:C091723
Coniferyl aldehyde	Chemical	MESH:C075384
OMe	Chemical	MESH:C091723
Coniferyl alcohol	Chemical	MESH:C010559
p-hydroxycoumarate	Chemical	MESH:C031128
Phenylpropanoid	Chemical	MESH:C520402
monolignols	Chemical	MESH:C434470
(MeO)  MeO	Chemical	MESH:C526611
5-hydroxy	Chemical	MESH:D006880
coniferaldehyde	Chemical	MESH:C075384
p-coumaroyl-CoA	Chemical	MESH:C058644
OMe	Chemical	MESH:C091723
Hydroxycinnamides	Chemical	MESH:C121217
feruloyltyramine	Chemical	MESH:C074004
5-hydroxy	Chemical	MESH:D006880
coniferylalcohol	Chemical	NA
OMe	Chemical	MESH:C091723
OMe  MeO	Chemical	MESH:C091723
Ferulate  MeO	Chemical	MESH:C530806
Sinapyl aldehyde	Chemical	MESH:C501624
OMe	Chemical	MESH:C091723
OMe	Chemical	MESH:C091723
Sinapyl alcohol	Chemical	MESH:C496130
OMe	Chemical	MESH:C091723
Feruloyl	Chemical	MESH:C119167
Monolignols	Chemical	MESH:C434470
esters	Chemical	MESH:D004952
OMe	Chemical	MESH:C091723
