word	mesh	match	name	doid
Acute myeloid leukemia	mesh:D015470	NA	NA	NA
Prostate cancer	mesh:D011471	NA	NA	NA
Toxoplasmosis  Viral carcinogenesis	mesh:D063646	NA	NA	NA
cancer	mesh:D009369	NA	NA	NA
erythematosus	mesh:D008180	NA	NA	NA
leukemia	mesh:D007938	NA	NA	NA
Hepatitis B	mesh:D006509	NA	NA	NA
Bladder cancer	mesh:D001749	NA	NA	NA
Mon-small cell lung cancer	mesh:D055752	NA	NA	NA
Colorectal cancer	mesh:D015179	NA	NA	NA
Epstein-Barr virus infection	mesh:D020031	NA	NA	NA
cytotoxicity	mesh:D064420	NA	NA	NA
Glioma	mesh:D005910	Glioma	brain glioma	doid:0060108
