word	mesh	match	name	doid
disease	NA	disease	disease	DOID:4
cancer	NA	cancer	cancer	DOID:162
Hepatitis	NA	hepatitis	hepatitis	DOID:2237
atherosclerosis	NA	atherosclerosis	atherosclerosis	DOID:1936
atherosclerosis	NA	atherosclerosis	atherosclerosis	DOID:1936
Shigellosis	NA	shigellosis	shigellosis	DOID:12385
cancer	NA	cancer	cancer	DOID:162
cancer	NA	cancer	cancer	DOID:162
cancer	NA	cancer	cancer	DOID:162
Chagas disease	NA	Chagas disease	Chagas disease	DOID:12140
Pancreatic cancer	NA	pancreatic cancer	pancreatic cancer	DOID:1793
Colorectal cancer	NA	colorectal cancer	colorectal cancer	DOID:9256
Prostate cancer	NA	prostate cancer	prostate cancer	DOID:10283
