word	mesh	match	name	doid
cancer	mesh:D009369	NA	NA	NA
cancer	mesh:D009369	NA	NA	NA
cancer	mesh:D009369	NA	NA	NA
Oral squamous cell carcinoma	mesh:D002294	Carcinoma, Squamous Cell	skin squamous cell carcinoma	doid:3151
carcinoma	mesh:D002277	Carcinoma	spindle cell carcinoma	doid:4015
Breast cancer	mesh:D001943	NA	NA	NA
cancer	mesh:D009369	NA	NA	NA
Kidney cancer	mesh:D007680	NA	NA	NA
leukemia	mesh:D007938	NA	NA	NA
Esophageal cancer	mesh:D004938	NA	NA	NA
Gastric cancer	mesh:D013274	NA	NA	NA
Glioma	mesh:D005910	Glioma	brain glioma	doid:0060108
Prostate cancer	mesh:D011471	NA	NA	NA
