word	mesh	match	name	doid
colorectal cancer	mesh:D015179	NA	NA	NA
lymphoma	mesh:D008223	NA	NA	NA
breast cancer	mesh:D001943	NA	NA	NA
lung cancer	mesh:D008175	NA	NA	NA
neuroblastoma	mesh:D009447	NA	NA	NA
pancreatie cancer	mesh:D009369	NA	NA	NA
bladder cancer	mesh:D001749	NA	NA	NA
gastric cancer	mesh:D013274	NA	NA	NA
melanoma	mesh:D008545	NA	NA	NA
leukemia	mesh:D007938	NA	NA	NA
tumors	mesh:D009369	NA	NA	NA
myeloma	mesh:D009101	NA	NA	NA
osteosarcoma	mesh:D012516	Osteosarcoma	bone sarcoma	doid:0080639
